,Unnamed: 0,Country,Yellows,Reds,Safety,Virtual Safety,Rain,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
64,5,0.10714285714285714,13,0.25,0.5,0.0,0.0,0.25,0.45,0.05,-0.15,0.2,0.1,0.0,-0.15,0.2,0.2,0.45,-0.1,0.2,0.2,-0.65,0.0,-0.1,-0.75,0.0,-0.4
65,6,0.25,0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,-0.05,0.15,0.2,-0.05,0.05,0.15,0.45,-0.3,0.1,-0.65,-0.15,-0.1,-0.45,0.0,-0.1,-0.2,-0.1
66,7,0.2857142857142857,1,0.0,0.0,0.0,0.0,0.0,-0.05,-0.15,0.0,0.15,-0.15,-0.25,-0.45,-0.1,-0.15,0.3,0.2,0.3,0.2,0.05,0.05,0.15,0.1,0.05,0.05
67,8,0.2857142857142857,1,0.0,0.25,0.0,1.0,0.0,0.15,-0.05,0.0,0.25,-0.15,0.3,0.2,-0.15,0.2,-0.15,-0.25,-0.2,0.05,0.05,0.1,-0.3,0.05,0.05,-0.15
68,9,0.32142857142857145,5,0.25,0.25,0.0,0.0,0.05,0.1,0.0,0.05,0.05,0.2,0.0,0.3,0.0,0.3,0.0,0.0,0.1,0.15,-0.1,-0.8,0.1,0.0,-0.55,-0.95
69,10,0.39285714285714285,3,0.25,0.25,0.0,1.0,0.35,-0.05,0.6,0.25,0.0,0.5,0.55,0.45,-0.3,0.15,0.0,0.4,-0.65,0.25,-0.45,-0.7,-0.65,-0.55,-0.35,-0.5
70,11,0.42857142857142855,1,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,-0.9,-0.95,-0.05
71,12,0.8571428571428571,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,-0.05,-0.4,-0.05,0.15,-0.05,0.0,0.1,-0.35,0.05,-0.8,-0.3,-0.05,-0.25,-0.1
72,13,0.4642857142857143,6,0.0,0.25,0.5,0.0,0.05,0.05,0.8,0.05,0.15,0.0,0.1,0.1,0.25,0.1,0.1,-0.05,-0.3,0.15,0.15,0.0,-0.65,-0.85,-0.95,-1.0
73,14,0.5357142857142857,8,0.0,0.0,0.0,1.0,0.15,0.9,-0.05,0.05,0.55,0.0,-0.3,0.25,-0.05,-0.35,-0.2,-0.1,-0.1,-0.25,0.2,0.05,-0.25,-0.15,-0.05,-0.3
