Race ID,Overtakes,Country,Yellows,Reds,Safety,Virtual Safety,Rain,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
11,154.0,Hungary,3,1,1,0,1,0.35,-0.05,0.6,0.25,0.0,0.5,0.55,0.45,-0.3,0.15,0.0,0.4,-0.65,0.25,-0.45,-0.7,-0.65,-0.55,-0.35,-0.5
12,49.0,Belgium,1,2,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,-0.9,-0.95,-0.05
24,57.0,Netherlands,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.15,-0.05,-0.4,-0.05,0.15,-0.05,0.0,0.1,-0.35,0.05,-0.8,-0.3,-0.05,-0.25,-0.1
13,117.0,Italy,6,0,1,2,0,0.05,0.05,0.8,0.05,0.15,0.0,0.1,0.1,0.25,0.1,0.1,-0.05,-0.3,0.15,0.15,0.0,-0.65,-0.85,-0.95,-1.0
15,86.0,Russia,8,0,0,0,1,0.15,0.9,-0.05,0.05,0.55,0.0,-0.3,0.25,-0.05,-0.35,-0.2,-0.1,-0.1,-0.25,0.2,0.05,-0.25,-0.15,-0.05,-0.3
23,78.0,Turkey,8,0,0,0,0,0.0,0.0,0.15,-0.05,0.3,-0.1,0.0,0.55,-0.05,0.1,0.25,0.25,0.35,-0.25,-0.1,-0.55,-0.1,-0.4,-0.25,-0.1
17,48.0,United States,2,0,0,1,0,0.0,0.0,0.0,0.0,0.05,0.15,-0.1,-0.05,0.05,0.4,0.05,0.05,0.1,0.3,-0.05,0.0,0.0,0.05,-0.4,-0.6
18,68.0,Mexico,2,0,1,0,0,0.1,0.0,0.05,0.05,0.15,0.0,0.1,0.1,0.15,0.4,0.0,-0.25,0.3,0.3,-0.7,0.0,-0.2,-0.15,-0.25,-0.15
19,58.0,Brazil,0,0,1,2,0,0.45,0.0,-0.1,0.0,0.05,-0.15,0.0,0.0,0.15,-0.25,-0.1,-0.6,0.2,-0.05,0.0,0.0,0.1,0.0,-0.4,-0.3
25,78.0,Qatar,12,0,0,1,1,0.0,0.25,0.0,0.35,0.2,0.3,-0.1,0.25,-0.25,0.0,-0.45,0.1,-0.25,0.1,0.15,0.15,-0.1,0.1,-0.1,-0.7
26,68.0,Saudi Arabia,5,2,1,4,0,0.0,0.05,-0.05,0.25,0.3,0.0,-0.15,0.35,0.05,-0.15,0.35,0.2,0.0,-0.3,-0.15,0.05,-0.6,0.1,-0.25,-0.05
